word,index
[UNK],0
[MASK],1
[MOL],2
[RXN],3
*-UNSPECIFIED--1-CHI_UNSPECIFIED-False,6
*-UNSPECIFIED-0-CHI_UNSPECIFIED-False,7
*-UNSPECIFIED-1-CHI_UNSPECIFIED-False,8
*-UNSPECIFIED-2-CHI_UNSPECIFIED-False,9
*-UNSPECIFIED-3-CHI_UNSPECIFIED-False,10
Ag-SP3D-1-CHI_UNSPECIFIED-False,11
Al-S-2-CHI_UNSPECIFIED-False,12
Al-S-3-CHI_UNSPECIFIED-False,13
Al-SP-1-CHI_UNSPECIFIED-False,14
Al-SP2-0-CHI_UNSPECIFIED-False,15
Al-SP3--1-CHI_UNSPECIFIED-False,16
Al-SP3-4-CHI_UNSPECIFIED-False,17
Ar-SP3-0-CHI_UNSPECIFIED-False,18
As-SP3-0-CHI_UNSPECIFIED-False,19
As-SP3-1-CHI_UNSPECIFIED-False,20
As-SP3D--1-CHI_UNSPECIFIED-False,21
Au-SP3D-1-CHI_UNSPECIFIED-False,22
B-S-0-CHI_UNSPECIFIED-False,23
B-S-3-CHI_UNSPECIFIED-False,24
B-SP-0-CHI_UNSPECIFIED-False,25
B-SP-0-CHI_UNSPECIFIED-True,26
B-SP2-0-CHI_UNSPECIFIED-False,27
B-SP3--1-CHI_TETRAHEDRAL_CW-False,28
B-SP3--1-CHI_UNSPECIFIED-False,29
Ba-S-2-CHI_UNSPECIFIED-False,30
Be-S-2-CHI_UNSPECIFIED-False,31
Bi-SP-3-CHI_UNSPECIFIED-False,32
Bi-SP2-2-CHI_UNSPECIFIED-False,33
Bi-SP3-0-CHI_UNSPECIFIED-False,34
Br-SP3--1-CHI_UNSPECIFIED-False,35
Br-SP3-0-CHI_UNSPECIFIED-False,36
Br-SP3-1-CHI_UNSPECIFIED-False,37
Br-SP3-2-CHI_UNSPECIFIED-False,38
C-S-1-CHI_UNSPECIFIED-False,39
C-S-4-CHI_UNSPECIFIED-False,40
C-SP--1-CHI_UNSPECIFIED-False,41
C-SP-0-CHI_UNSPECIFIED-False,42
C-SP-0-CHI_UNSPECIFIED-True,43
C-SP-1-CHI_UNSPECIFIED-False,44
C-SP-2-CHI_UNSPECIFIED-False,45
C-SP2--1-CHI_UNSPECIFIED-False,46
C-SP2--1-CHI_UNSPECIFIED-True,47
C-SP2--2-CHI_UNSPECIFIED-False,48
C-SP2--2-CHI_UNSPECIFIED-True,49
C-SP2-0-CHI_UNSPECIFIED-False,50
C-SP2-0-CHI_UNSPECIFIED-True,51
C-SP2-1-CHI_UNSPECIFIED-False,52
C-SP2-2-CHI_UNSPECIFIED-False,53
C-SP2-3-CHI_UNSPECIFIED-False,54
C-SP3--1-CHI_UNSPECIFIED-False,55
C-SP3-0-CHI_TETRAHEDRAL_CCW-False,56
C-SP3-0-CHI_TETRAHEDRAL_CW-False,57
C-SP3-0-CHI_UNSPECIFIED-False,58
C-SP3-1-CHI_UNSPECIFIED-False,59
C-SP3-3-CHI_UNSPECIFIED-False,60
Ca-S-2-CHI_UNSPECIFIED-False,61
Ca-SP-0-CHI_UNSPECIFIED-False,62
Cd-S-2-CHI_UNSPECIFIED-False,63
Cd-SP-0-CHI_UNSPECIFIED-False,64
Ce-S-3-CHI_UNSPECIFIED-False,65
Ce-S-4-CHI_UNSPECIFIED-False,66
Ce-SP-0-CHI_UNSPECIFIED-False,67
Ce-SP2-0-CHI_UNSPECIFIED-False,68
Cl-SP3--1-CHI_UNSPECIFIED-False,69
Cl-SP3-0-CHI_UNSPECIFIED-False,70
Cl-SP3-1-CHI_UNSPECIFIED-False,71
Cl-SP3-2-CHI_UNSPECIFIED-False,72
Cl-SP3-3-CHI_UNSPECIFIED-False,73
Co-SP-6-CHI_UNSPECIFIED-False,74
Co-SP2-3-CHI_UNSPECIFIED-False,75
Co-SP2-4-CHI_UNSPECIFIED-False,76
Co-SP3-1-CHI_UNSPECIFIED-False,77
Co-SP3-2-CHI_UNSPECIFIED-False,78
Co-SP3D-0-CHI_UNSPECIFIED-False,79
Co-SP3D-1-CHI_UNSPECIFIED-False,80
Co-UNSPECIFIED--2-CHI_UNSPECIFIED-False,81
Cr-S-4-CHI_UNSPECIFIED-False,82
Cr-S-5-CHI_UNSPECIFIED-False,83
Cr-S-6-CHI_UNSPECIFIED-False,84
