reaction_id,smiles
72272,COc1ccc2cc(C=O)ccc2c1.N=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO[PH](=O)(=O)O[PH](=O)(=O)OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O.O>>COc1ccc2cc(C(=O)O)ccc2c1.N=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO[PH](=O)(=O)O[PH](=O)(=O)OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O.[H+]
90551,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12.OO>>O.O=C1C=CC(c2oc3cc(O)cc(O)c3c(=O)c2O)=CC1=O
