unit_id,rule_id,reaction_id
3799,54853,22749
293,54854,22754
13890,54857,22749
5073,54858,22746
5073,54858,22747
5073,54858,22748
5073,54858,22750
5073,54858,22751
5073,54858,22752
5073,54858,22753
1570,54859,22745
8027,54860,22747
11069,54861,22748
2579,54862,22751
12587,54863,22752
4965,54864,22755
9068,54865,22756
13890,54866,22756
5181,54867,22756
5430,54868,22757
13036,54869,22757
8672,54872,22758
5430,54873,22758
8201,54874,22760
1415,54875,22759
1415,54875,22761
1415,54875,22762
2409,54876,22760
8254,54877,22761
8254,54877,22762
9469,54878,22761
9469,54878,22762
11701,54879,22763
4381,54880,22763
9469,54881,22763
9469,54881,22764
3144,54882,22766
3144,54882,22765
9469,54883,22766
9264,54884,22766
4381,54885,22763
4381,54885,22765
11886,54886,22766
11886,54886,22766
11886,54886,22768
11886,54886,22771
10005,54887,22766
10005,54887,22767
10005,54887,22769
10005,54887,22770
956,54888,22766
956,54888,22769
4381,54889,22766
4381,54889,22763
956,54890,22769
10005,54891,22767
10005,54891,22769
10005,54891,22770
9469,54894,22767
3799,54895,22763
3799,54895,22764
3799,54895,22765
3799,54895,22767
3799,54895,22769
3799,54895,22770
5555,54896,22764
5555,54896,22767
5555,54896,22769
5555,54896,22770
3937,54897,22766
3937,54897,22767
3937,54897,22769
10005,54898,22766
10005,54898,22766
10005,54898,22767
10005,54898,22769
10005,54898,22770
10005,54899,22766
10005,54899,22767
10005,54899,22769
10005,54899,22770
4381,54900,22763
4381,54900,22765
4381,54900,22766
4381,54900,22768
4381,54900,22771
4576,54901,22768
3937,54902,22766
3937,54902,22769
3937,54902,22770
2204,54904,22771
4903,54905,22771
2925,54906,22771
8674,54907,22772
8674,54907,22772
7113,54908,22772
9573,54911,22778
9573,54911,22780
13904,54914,22779
13904,54914,22781
2604,54915,22776
2604,54915,22776
2604,54915,22781
6911,54916,22779
6911,54916,22781
10931,54917,22774
10931,54917,22775
1628,54922,22774
1628,54922,22775
2604,54923,22777
2604,54923,22777
10931,54925,22779
11380,54926,22779
11380,54926,22781
9791,54927,22782
9791,54927,22782
9791,54927,22783
9791,54927,22784
9791,54927,22785
9791,54927,22786
9791,54927,22787
9791,54927,22788
9412,54928,22782
9412,54928,22782
9412,54928,22783
9412,54928,22784
9412,54928,22785
9412,54928,22786
9412,54928,22787
9412,54928,22789
11101,54929,22782
10556,54930,22782
10556,54930,22788
10556,54930,22789
2142,54931,22782
11701,54932,22783
11701,54932,22784
11581,54933,22785
9573,54934,22786
9573,54934,22787
11701,54935,22789
11101,54936,22788
12573,54937,22790
13933,54938,22790
13933,54939,22790
13933,54939,22790
13933,54940,22790
13933,54940,22791
13933,54940,22793
7116,54941,22790
7116,54941,22793
7116,54941,22790
7116,54941,22791
7116,54941,22793
12645,54942,22790
12645,54942,22793
12645,54942,22794
12645,54942,22791
12645,54942,22793
12645,54942,22794
7600,54943,22790
9531,54944,22791
9531,54944,22790
9531,54944,22791
9531,54944,22793
9531,54944,22794
11701,54945,22791
12573,54946,22790
12573,54946,22791
12573,54946,22793
12573,54946,22794
11458,54947,22790
11458,54947,22793
11458,54947,22790
11458,54947,22791
11458,54947,22792
11458,54947,22793
11458,54947,22794
11701,54948,22794
9451,54949,22790
9451,54949,22791
9451,54949,22793
2227,54950,22794
5181,54951,22801
