substrate_id,substrate_family,aa_id,notation,description,smiles,aminoacid_type,source
hiv,Val,Hiv,Hiv,2-Hydroxyisovaleric acid,CC(C)C(O)C(=O)O,CA,curated
HMAA,Ana,HMAA,HMAA,"3,5-hydroxy-4-methylanthranilic acid",Cc1c(O)cc(C(=O)O)c(N)c1O,CA,ibis
2-HVC,Ile,HMP,HMP,2-hydroxy-3-methylpentanoic acid,CCC(C)C(O)C(=O)O,CA,curated
hpla,Tyr,hpla,hpla,2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid / hydroxyphenyllactic acid,O=C(O)C(O)Cc1ccc(O)cc1,CA,ibis
Hppy,Tyr,Hppy,Hppy,4-hydroxyphenylpyruvate,O=C(O)C(=O)Cc1ccc(O)cc1,CA,ibis
lac,Ala,lac,lac,lactate,CC(O)C(=O)O,CA,ibis
Dhb,Dhb,Lysergic Acid,Lysergic Acid,Lysergic Acid,CN1C[C@H](C(=O)O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,CA,curated
Moba,Val,Moba,Moba,3-Methyl-2-oxobutanoic acid,CC(C)C(=O)C(=O)O,CA,ibis
Mopa,Val,Mopa,Mopa,3-methyl-2-oxopentanoic acid,CC[C@H](C)C(=O)C(=O)O,CA,ibis
NPA,NPA,NPA,NPA,3-methoxy-5-methylnaphthoic acid,COc1cc(C(=O)O)c2cccc(C)c2c1,CA,ibis
PheAc,Phe,PAA,PAA,Phenylacetic acid,O=C(O)Cc1ccccc1,CA,curated
PABA,PABA,PABA,PABA,4-Aminobenzoic acid,Nc1ccc(C(=O)O)cc1,CA,ibis
,,PalA-2,PalA,PalA,CCCCCCCCCCCCCC(C)C(=O)O,CA,puffin
,,paranitrobenzoic acid,paranitrobenzoic acid,paranitrobenzoic acid,O=C(O)c1ccc([N+](=O)[O-])cc1,CA,curated
PhePyruvate,Phe,PhePyruvate,PhePyruvate,phenyl pyruvic acid,O=C(O)C(=O)Cc1ccccc1,CA,ibis
,,Pyrrolidone,Pyrrolidone,Pyrrolidone,NC1CC(=O)NC1(O)CC(=O)O,CA,curated
pyruvate,Ala,pyruvate,pyruvate,pyruvic acid,CC(=O)C(=O)O,CA,ibis
QxCA,QxCA,QXC,QXC,Quinoxaline-2-carboxylic acid,O=C(O)c1cnc2ccccc2n1,CA,curated
AHIBA,PABA,AHIBA,AHIBA,4-amino-2-hydroxy-3-isopropoxybenzoic acid,Nc1ccc(C(O)=O)c(O)c1OC(C)C,CA,curated_2023
CysA,CysA,CysA,CysA,Cysteic Acid,O=C(O)C(N)CS(=O)(O)=O,CA,curated_2023
3-NH2-9-Me-DecA,long_chain_fa,3-NH2-9-Me-DecA,3-NH2-9-Me-DecA,3-NH2-9-Me-DecA,CC(C)CCCCCC(N)CC(O)=O,CA,curated_2023
D-HIC,Leu,D-HIC,D-HIC,D-a-hydroxy isocaproic acid,OC([C@H](O)CC(C)C)=O,CA,curated_2023
Ind,Trp,Ind,Ind,Indole acid,OC(CC1=CNC2=CC=CC=C21)=O,CA,curated_2023
kLeu,Leu,kLeu,kLeu,ketoleucine,CC(CC(C(O)=O)=O)C,CA,curated_2023
