unit_id,rule_id,sugar_tag
13807,43,3KR
13807,43,"4,6DH"
13807,43,E
13807,43,ThiS
265,44,GTr
265,44,"2,3DH"
265,44,3KR
265,44,"4,6DH"
265,44,4KR
1297,45,GTr
1297,45,"2,3DH"
1297,45,"3,4DH"
1297,45,3KR
1297,45,"4,6DH"
1297,45,4KR
1297,45,E
1010,46,GTr
1010,46,"4,6DH"
1010,46,4KR
1010,46,E
1010,46,OMT
7823,47,GTr
7823,47,"4,6DH"
7823,47,4KR
7823,47,E
7823,47,OMT
11661,48,GTr
11661,48,"4,6DH"
11661,48,4KR
11661,48,E
11661,48,OMT
7429,49,GTr
7429,49,"4,6DH"
7429,49,4KR
7429,49,E
7429,49,OMT
6031,50,GTr
6031,50,"3,4DH"
6031,50,3-AmT
6031,50,"4,6DH"
6031,50,"N,N-MT"
6031,50,OxDA
12562,51,GTr
12562,51,"4,6DH"
12562,51,4KR
12562,51,OMT
5355,52,GTr
5355,52,"3,4IM"
5355,52,3-AmT
5355,52,"4,6DH"
5355,52,OMT
877,53,GTr
877,53,"3,4IM"
877,53,3-AmT
877,53,"4,6DH"
877,53,"N,N-MT"
11771,54,GTr
11771,54,"2,3DH"
11771,54,"3,4DH"
11771,54,3KR
11771,54,"4,6DH"
11771,54,4KR
11771,54,E
4758,55,GTr
4758,55,"2,3DH"
4758,55,3KR
4758,55,"4,6DH"
4758,55,4KR
4758,55,E
4758,55,OMT
8911,56,GTr
8911,56,"2,3DH"
8911,56,3KR
8911,56,"4,6DH"
8911,56,4KR
8911,56,E
12374,57,GTr
12374,57,"2,3DH"
12374,57,3KR
12374,57,"4,6DH"
12374,57,4KR
12374,57,AcT
