smarts_hash_id,unit_id,unit
896b78f6,3246,P.887.11
3ba40068,3247,S.1931.34
9f934d7b,3248,P.1153.23
3992d65f,3249,P.2972.64
d7b01fcf,3249,P.2972.64
5e55d89b,3250,cid_3014114
b10e6191,3251,P.M00901.9
0bb69b5b,3251,P.M00901.9
897700c0,3252,P.2904.49
b48759d9,3253,P.504.1
27b23c04,3253,P.504.1
92a366b3,3253,P.504.1
a1c75773,3253,P.504.1
7a23f997,3254,P.1443.39
efa6d15b,3255,S.1612.33
c0cf95f7,3256,P.M00167.5
dbe26301,3257,P.819.7
518ac7d0,3258,P.2994.22
2e5dd820,3258,P.2994.22
db9d1518,3259,P.2144.71
21bd0779,3260,P.M00740.11
f41beb1b,3261,P.3061.62
96fb97f1,3261,P.3061.62
4dab7a16,3261,P.3061.62
77c22a6c,3261,P.3061.62
2b939f50,3262,P.M00609.8
7f28d04d,3262,P.M00609.8
71b50103,3263,P.3040.11
9d6157fa,3264,P.553.12
155f4339,3264,P.553.12
5836a2e4,3265,P.M00097.2
74c5c43a,3266,epoxMal-KS
f3e32828,3266,epoxMal-KS
7f72d270,3266,epoxMal-KS
adab914c,3266,epoxMal-KS
b01f5e6d,3266,epoxMal-KS
b070530d,3266,epoxMal-KS
3dc3718e,3266,epoxMal-KS
b924bac1,3266,epoxMal-KS
7e2d49cf,3266,epoxMal-KS
f7a23288,3266,epoxMal-KS
1cdb6ba1,3266,epoxMal-KS
c4e875c0,3266,epoxMal-KS
c3734367,3266,epoxMal-KS
df3fa86a,3266,epoxMal-KS
0e96fa23,3267,S.938.4
f28e6272,3267,S.938.4
14b32c1c,3268,P.3082.51
8ed2f43c,3269,P.M00805.12
8863a028,3269,P.M00805.12
e6fa5a8d,3269,P.M00805.12
458b04d3,3269,P.M00805.12
df970443,3270,P.2258.7
3bdb9625,3271,P.171.1
b28dcede,3272,C4:0-Me(2)
d4266e50,3273,P.1779.18
5a7ad5d6,3274,P.309.6
9f676cf1,3274,P.309.6
15c0c57d,3275,P.1576.8
cd468655,3275,P.1576.8
04126037,3276,cid_440390
9a914cb6,3277,P.894.17
49ef8b25,3278,P.2980.12
ee60b64d,3279,P.1927.5
14c93585,3279,P.1927.5
3b900c59,3280,cid_11756
e506944d,3281,S.926.63
722e8f32,3282,P.640.8
88a63bcb,3283,P.834.16
83131e0c,3283,P.834.16
4db2a1f0,3283,P.834.16
4483f662,3284,P.1655.64
1d79cece,3285,P.M00046.17
079f9a07,3285,P.M00046.17
6edb7328,3286,P.1815.24
bccff893,3286,P.1815.24
190424f7,3287,P.437.6
bbbfacb0,3287,P.437.6
4bf64207,3288,P.3025.5
c70c8df1,3289,P.1476.1
589c72f7,3290,P.696.46
930bba00,3291,P.85.4
87c51255,3292,P.3068.67
2624dc36,3292,P.3068.67
7790409e,3293,P.1877.6
c68710f0,3294,S.659139.5
4bb43fcc,3294,S.659139.5
c63ce18c,3295,S.794.20
c1be4288,3296,S.659060.40
9544a432,3297,P.M00805.13
9097c1c1,3297,P.M00805.13
b2ffc9b8,3298,S.1736.25
