metabolite_id,smiles,chemotype
44,CC(O)C(O)C(OC1OC(C)C(O)C(OC2OC(CO)C(O)C2O)C1O)C(=O)CO.CC1OC(O)C(O)C(OC2OC(C)C(O)C(OC3OC(CO)C(O)C3O)C2O)C1O.CC1OC(OC2C(O)C(O)OC2(O)C(C)O)C(O)C(OC2OC(CO)C(O)C2O)C1O,Aminoglycoside
45,CC(=O)OC1C(O)C(OC2C(O)C(C)OC(O)C2O)OC(CO)C1OC1OC(CO)C(O)C(O)C1O,Aminoglycoside
46,CC1OC(O)C(O)C(O)C1OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Aminoglycoside
47,CC1OC(OC2C(C)OC(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Aminoglycoside
48,OCC1OC(OC2C(OC3C(O)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
49,CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC(C)(C)OC2OC(CO)C(O)C(O)C2O)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O,NonRibosomalPeptide
50,OCC1OC(OCC2OC(OC3C(O)C(O)OC(CO)C3O)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
51,CC(=O)OC1C(C(=O)O)OC(OC2C(O)C(O)OC(CO)C2O)C(O)C1OC1OC(CO)C(O)C(O)C1O,Aminoglycoside
52,CC1OC(O)C(O)C(O)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
53,OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
54,NC1C(O)OC(COC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,Aminoglycoside
55,CC1OC(O)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O,Aminoglycoside
