notation,description,smiles
C8:2(5.7)-Me(6)-OH(4)-NH2(3)-brPh(8),"3-amino-4-hydroxy-6-methyl-8-(p-bromophenyl)-5,7-octadienoic acid",*C(=O)CC(N)C(O)C=C(C)C=Cc1ccc(Br)cc1
aC11:2(4.6)-Me(2.6)-OH(2.3),"2,3-dihydroxy-2,6,8-trimethyldeca-(4Z,6E)-dienoic acid",*C(=O)C(C)(O)C(O)C=CC(C)=CC(C)CC
C14:2(t4.t6)-OH(2.3),"2,3-dihydroxy-trans4,trans6-tetradecenoic acid",*C(=O)C(O)C(O)C=CC=CCCCCCCC
C8:1(7)-Me(2.2)-OH(3),"2,2-dimethyl-3-hydroxy-7-octenoic acid",*C(=O)C(C)(C)C(O)CCCC=C
iC5:0-OH(2.4),"2,4-dihydroxy-3-methyl-butanoic acid",*C(=O)C(O)C(C)CO
C9:1(4)-Me(2.4.6)-OH(8),"8-hydroxy-2,4,6-trimethyl-4-nonenoic acid",*C(=O)C(C)CC(C)=CC(C)CC(C)O
C12:1(5)-OH(3),3-hydroxy-5-dodecenoic acid,*C(=O)CC(O)CC=CCCCCCC
C16:1(9)-OH(3),3-hydroxy-9-hexadecenoic acid,*C(=O)CC(O)CCCCCC=CCCCCCC
C18:1(9)-OH(3),3-hydroxy-9-octadecenoic acid,*C(=O)CC(O)CCCCCC=CCCCCCCCC
aC13:0-OH(3),3-hydroxy-10-methyl-dodecanoic acid,*C(=O)CC(O)CCCCCCC(C)CC
iC16:0-OH(3),3-hydroxy-14-methyl-pentadecanoic acid,*C(=O)CC(O)CCCCCCCCCCC(C)C
Tig,tiglic acid,*C(=O)/C(C)=C/C
C8:0:1(7)-Me(2)-NH2(3),3-amino-2-methyloct-7-ynoic acid,*C(=O)C(C)C(N)CCCC#C
C8:0:1(7)-Me(2.2)-OH(3),"2,2-dimethyl-3-hydroxy-7-octynoic acid",*C(=O)C(C)(C)C(O)CCCC#C
C8:0:1(7)-Me(2)-OH(3),2-methyl-3-hydroxy-7-octynoic acid,*C(=O)C(C)C(O)CCCC#C
C8:0:1(7)-Me(2),2-methylact-7-ynoic acid,*C(=O)C(C)CCCCC#C
C10:0:1(9)-Me(2.4),"2,4-dimethyl-dec-9-ynoic acid",*C(=O)C(C)CC(C)CCCCC#C
C8:0:1(7),oct-7-ynoic acid,*C(=O)CCCCCC#C
C4:1(3)-OH(2),2-hydroxy-3-butenoic acid,*C(=O)C(O)C=C
C4:0-OH(2.3),"2,3-dihydroxy-butanoic acid",*C(=O)C(O)C(C)O
iC5:0-OH(2.3),"2,3-dihydroxy-3-methyl-butanoic acid",*C(=O)C(O)C(C)(C)O
C6:0-Me(5.5)-oxo(2),"5,5-dimethyl-2-oxo-hexanoic acid",*C(=O)C(=O)CCC(C)(C)C
iC9:2(2.t4),"2,trans4-7-methyl-octenoic acid",*C(=O)/C=C/C=C/CC(C)C
iC8:0-Me(2.4)-OH(3),"2,4,6-trimethyl-3-hydroxy-heptanoic acid",*C(=O)C(C)C(O)C(C)CC(C)C
iC10:2(2.t4),"2,trans4-8-methyl-noneoic acid",*C(=O)/C=C/C=C/CCC(C)C
iC12:2(2.t4),"10-methyl-2,trans4-undecanoic acid",*C(=O)/C=C/C=C/CCCCC(C)C
iC13:1(3),11-methyl-3-dodecenoic acid,*C(=O)C/C=C/CCCCCCC(C)C
iC14:1(3),12-methyl-3-tridecenoic acid,*C(=O)C/C=C/CCCCCCCC(C)C
iC13:0-OH(3),3-hydroxy-11-methyl-dodecanoic acid,*C(=O)CC(O)CCCCCCCC(C)C
