mibig_id,metabolite_id,unit_id,family_id
BGC0000001,34142,1,-1
BGC0000001,34142,2,292
BGC0000001,34142,3,-1
BGC0000001,34142,4,44
BGC0000001,34142,5,-1
BGC0000001,34142,6,100
BGC0000001,34142,7,294
BGC0001694,13833,1,-1
BGC0001694,13833,2,115
BGC0001694,13833,3,-1
BGC0001694,13833,4,264
BGC0001694,13833,5,-1
BGC0001694,13833,6,-1
BGC0001694,13833,7,-1
BGC0001694,13833,8,-1
BGC0001694,13833,9,-1
BGC0001694,13833,10,25
BGC0001694,13833,11,25
BGC0001337,783,1,373
BGC0001337,783,2,-1
BGC0001337,783,3,187
BGC0001337,783,4,141
BGC0001337,783,5,390
BGC0001337,783,6,373
BGC0001336,24525,1,368
BGC0001336,24525,2,296
BGC0001336,24525,3,191
BGC0001331,31676,1,395
BGC0001331,31676,2,486
BGC0001331,31676,3,97
BGC0001331,31676,4,58
BGC0001331,31676,5,97
BGC0001331,31676,6,407
BGC0001331,31676,7,97
BGC0001331,31676,8,407
BGC0001331,31676,9,395
BGC0001331,31676,10,58
BGC0001331,31676,11,395
BGC0001330,31676,1,395
BGC0001330,31676,2,-1
BGC0001330,31676,3,97
BGC0001330,31676,4,58
BGC0001330,31676,5,97
BGC0001330,31676,6,407
BGC0001330,31676,7,-1
BGC0001330,31676,8,407
BGC0001330,31676,9,395
BGC0001330,31676,10,58
BGC0001330,31676,11,395
BGC0001332,16771,1,332
BGC0001332,16771,2,415
BGC0001332,16771,3,517
BGC0001332,16771,4,16
BGC0001332,16771,5,-1
BGC0001332,16771,6,387
BGC0001332,16771,7,-1
BGC0001332,16771,8,-1
BGC0000002,35638,1,90
BGC0000002,35638,2,341
BGC0000002,35638,3,90
BGC0000002,35638,4,90
BGC0000002,35638,5,90
BGC0000002,35638,6,90
BGC0000002,35638,7,90
BGC0000002,35638,8,77
BGC0000002,35638,9,460
BGC0000002,35638,10,460
BGC0000002,35638,11,690
BGC0000002,35638,12,690
BGC0000002,35638,13,90
BGC0000002,35638,14,90
BGC0000002,35638,15,77
BGC0000002,35638,16,690
BGC0000002,35638,17,341
BGC0000002,35638,18,341
BGC0000002,35638,19,90
BGC0000002,35638,20,90
BGC0000002,35638,21,-1
BGC0000002,35638,22,90
BGC0000002,35638,23,90
BGC0000002,35638,24,90
BGC0001335,30606,1,335
BGC0001335,30606,2,141
BGC0001335,30606,3,373
BGC0001335,30606,4,-1
BGC0001335,30606,5,-1
BGC0001334,29467,1,10
BGC0001334,29467,2,373
BGC0001334,29467,3,373
BGC0001334,29467,4,-1
BGC0001334,29467,5,-1
BGC0001334,29467,6,-1
BGC0001342,27618,1,-1
BGC0001342,27618,2,227
BGC0001342,27618,3,-1
BGC0001342,27618,4,394
BGC0001342,27618,5,292
BGC0001342,27618,6,-1
BGC0001342,27618,7,-1
BGC0001342,27618,8,-1
BGC0001342,27618,9,227
BGC0001342,27618,10,307
BGC0001342,27618,11,294
BGC0001342,27618,12,307
BGC0001342,27618,13,-1
BGC0001342,27618,14,267
BGC0000006,35394,1,100
BGC0000004,35394,1,100
BGC0000010,35394,1,100
BGC0000009,35394,1,100
BGC0000007,35394,1,100
BGC0000011,35394,1,100
BGC0000003,35416,1,158
BGC0000003,35416,2,254
BGC0000003,35416,3,292
BGC0000003,35416,4,-1
BGC0000003,35416,5,571
BGC0000003,35416,6,10
BGC0001341,1127,1,612
BGC0001341,1127,2,612
BGC0001341,1127,3,612
BGC0001341,1127,4,146
BGC0001341,1127,5,755
BGC0001341,1127,6,755
BGC0001341,1127,7,725
BGC0001341,1127,8,725
BGC0001846,1127,1,612
BGC0001846,1127,2,612
BGC0001846,1127,3,612
BGC0001846,1127,4,146
BGC0001846,1127,5,755
BGC0001846,1127,6,755
BGC0001846,1127,7,725
BGC0001846,1127,8,725
BGC0000453,1127,1,612
BGC0000453,1127,2,612
BGC0000453,1127,3,612
BGC0000453,1127,4,146
BGC0000453,1127,5,755
BGC0000453,1127,6,755
BGC0000453,1127,7,725
BGC0000453,1127,8,725
BGC0001338,29542,1,317
BGC0001338,29542,2,23
BGC0001338,29542,3,480
BGC0001338,29542,4,8
BGC0001338,29542,5,-1
BGC0000894,29542,1,317
BGC0000894,29542,2,23
BGC0000894,29542,3,480
BGC0000894,29542,4,8
BGC0000894,29542,5,-1
BGC0001455,1219,1,317
BGC0001455,1219,2,23
BGC0001455,1219,3,480
BGC0001455,1219,4,8
BGC0001455,1219,5,-1
BGC0001340,31127,1,-1
BGC0001340,31127,2,208
BGC0001340,31127,3,113
BGC0001339,2163,1,370
BGC0001339,2163,2,253
BGC0001339,2163,3,-1
BGC0001339,2163,4,360
BGC0001339,2163,5,201
BGC0001339,2163,6,17
BGC0001339,2163,7,290
BGC0001339,2163,8,225
BGC0001339,2163,9,10
BGC0001339,2163,10,-1
BGC0001339,2163,11,227
BGC0001339,2163,12,201
BGC0001339,2163,13,377
BGC0001339,2163,14,-1
BGC0001346,30981,1,520
BGC0001346,30981,2,717
BGC0001346,30981,3,495
BGC0001346,30981,4,597
BGC0001346,30981,5,406
BGC0001346,30981,6,406
BGC0001346,30981,7,406
BGC0001346,30981,8,406
BGC0001346,30981,9,600
BGC0001345,16327,1,604
BGC0001345,16327,2,655
BGC0001345,16327,3,675
BGC0002324,16327,1,604
BGC0002324,16327,2,655
BGC0002324,16327,3,675
BGC0002491,16327,1,604
BGC0002491,16327,2,655
BGC0002491,16327,3,675
BGC0002492,16327,1,604
BGC0002492,16327,2,655
BGC0002492,16327,3,675
BGC0001343,34336,1,533
BGC0001343,34336,2,-1
BGC0002591,34336,1,533
BGC0002591,34336,2,-1
BGC0001344,4717,1,189
BGC0001344,4717,2,-1
BGC0001344,4717,3,145
BGC0001344,4717,4,-1
BGC0001344,4717,5,-1
BGC0001344,4717,6,502
BGC0001344,4717,7,2
BGC0001344,4717,8,-1
BGC0001344,4717,9,23
BGC0001344,4717,10,-1
BGC0001344,4717,11,0
BGC0001053,4719,1,189
BGC0001053,4719,2,334
BGC0001053,4719,3,2
BGC0001053,4719,4,-1
BGC0001053,4719,5,-1
BGC0001053,4719,6,502
BGC0001053,4719,7,-1
BGC0001053,4719,8,-1
BGC0001053,4719,9,517
BGC0001053,4719,10,-1
BGC0001053,4719,11,0
BGC0000152,40404,1,393
BGC0000014,33631,1,132
BGC0000014,33631,2,132
BGC0000014,33631,3,-1
BGC0000014,33631,4,-1
BGC0000014,33631,5,132
BGC0000014,33631,6,-1
BGC0000014,33631,7,-1
BGC0000014,33631,8,302
BGC0000014,33631,9,17
BGC0000014,33631,10,132
BGC0000014,33631,11,132
BGC0000014,33631,12,-1
BGC0001350,11895,1,270
