mibig_id,metabolite_id,unit_id,family_id
BGC0001350,11895,2,-1
BGC0001350,11895,3,6
BGC0001350,11895,4,-1
BGC0001350,11895,5,314
BGC0001350,11895,6,-1
BGC0001350,11895,7,103
BGC0001350,11895,8,460
BGC0001350,11895,9,314
BGC0001350,11895,10,-1
BGC0001350,11895,11,-1
BGC0001350,11895,12,530
BGC0001350,11895,13,-1
BGC0001350,11895,14,-1
BGC0001350,11895,15,149
BGC0001350,11895,16,270
BGC0001350,11895,17,-1
BGC0001350,11895,18,-1
BGC0001350,11895,19,259
BGC0000012,33692,1,113
BGC0000012,33692,2,378
BGC0000012,33692,3,378
BGC0000012,33692,4,-1
BGC0000012,33692,5,-1
BGC0000012,33692,6,-1
BGC0000012,33692,7,-1
BGC0000012,33692,8,-1
BGC0000012,33692,9,113
BGC0001349,16653,1,180
BGC0001349,16653,2,227
BGC0001349,16653,3,75
BGC0001349,16653,4,75
BGC0001349,16653,5,65
BGC0001349,16653,6,343
BGC0001349,16653,7,182
BGC0001349,16653,8,599
BGC0001349,16653,9,294
BGC0001349,16653,10,504
BGC0001349,16653,11,251
BGC0001349,16653,12,504
BGC0001349,16653,13,343
BGC0000097,16653,1,180
BGC0000097,16653,2,227
BGC0000097,16653,3,75
BGC0000097,16653,4,75
BGC0000097,16653,5,65
BGC0000097,16653,6,343
BGC0000097,16653,7,182
BGC0000097,16653,8,599
BGC0000097,16653,9,294
BGC0000097,16653,10,504
BGC0000097,16653,11,251
BGC0000097,16653,12,504
BGC0000097,16653,13,343
BGC0002101,16653,1,180
BGC0002101,16653,2,227
BGC0002101,16653,3,75
BGC0002101,16653,4,75
BGC0002101,16653,5,65
BGC0002101,16653,6,343
BGC0002101,16653,7,182
BGC0002101,16653,8,599
BGC0002101,16653,9,294
BGC0002101,16653,10,504
BGC0002101,16653,11,251
BGC0002101,16653,12,504
BGC0002101,16653,13,343
BGC0001348,19535,1,394
BGC0001348,19535,2,-1
BGC0001348,19535,3,-1
BGC0001348,19535,4,111
BGC0001348,19535,5,294
BGC0001348,19535,6,-1
BGC0001348,19535,7,246
BGC0001348,19535,8,109
BGC0001348,19535,9,111
BGC0001348,19535,10,-1
BGC0001348,19535,11,-1
BGC0001348,19535,12,-1
BGC0001348,19535,13,-1
BGC0001348,19535,14,-1
BGC0000013,33681,1,318
BGC0000013,33681,2,107
BGC0000013,33681,3,368
BGC0001284,33681,1,318
BGC0001284,33681,2,107
BGC0001284,33681,3,368
BGC0000021,34822,1,77
BGC0000021,34822,2,341
BGC0000021,34822,3,314
BGC0000021,34822,4,32
BGC0000021,34822,5,32
BGC0000021,34822,6,32
BGC0000021,34822,7,-1
BGC0000021,34822,8,-1
BGC0000021,34822,9,32
BGC0000021,34822,10,314
BGC0000021,34822,11,32
BGC0000021,34822,12,77
BGC0000021,34822,13,314
BGC0000021,34822,14,32
BGC0000021,34822,15,32
BGC0000021,34822,16,341
BGC0000021,34822,17,32
BGC0000021,34822,18,32
BGC0000018,33492,1,106
BGC0000018,33492,2,259
BGC0000018,33492,3,-1
BGC0000018,33492,4,171
BGC0000018,33492,5,248
BGC0000018,33492,6,17
BGC0000018,33492,7,374
BGC0000018,33492,8,106
BGC0000018,33492,9,534
BGC0000018,33492,10,134
BGC0000018,33492,11,402
BGC0000018,33492,12,-1
BGC0001361,6473,1,741
BGC0001361,6473,2,741
BGC0001361,6473,3,741
BGC0001361,6473,4,-1
BGC0001361,6473,5,20
BGC0002283,6473,1,741
BGC0002283,6473,2,741
BGC0002283,6473,3,741
BGC0002283,6473,4,-1
BGC0002283,6473,5,20
BGC0001351,28507,1,-1
BGC0001351,28507,2,650
BGC0001351,28507,3,-1
BGC0001351,28507,4,453
BGC0001351,28507,5,50
BGC0001358,17933,1,183
BGC0001358,17933,2,439
BGC0001358,17933,3,-1
BGC0001358,17933,4,119
BGC0001358,17933,5,119
BGC0001358,17933,6,119
BGC0001358,17933,7,-1
BGC0001358,17933,8,507
BGC0001358,17933,9,507
BGC0001358,17933,10,192
BGC0001358,17933,11,-1
BGC0001358,17933,12,-1
BGC0001358,17933,13,177
BGC0001365,1057,1,148
BGC0001365,1057,2,-1
BGC0001369,714,1,-1
BGC0001369,714,2,-1
BGC0001369,714,3,254
BGC0001369,714,4,-1
BGC0001369,714,5,-1
BGC0001369,714,6,-1
BGC0001369,714,7,105
BGC0001369,714,8,-1
BGC0001369,714,9,360
BGC0001369,714,10,-1
BGC0001369,714,11,-1
BGC0001366,33261,1,107
BGC0001366,33261,2,-1
BGC0001366,33261,3,107
BGC0001512,33261,1,107
BGC0001512,33261,2,-1
BGC0001512,33261,3,107
BGC0000031,30601,1,158
BGC0000031,30601,2,17
BGC0000031,30601,3,116
BGC0000031,30601,4,149
BGC0000031,30601,5,109
BGC0000031,30601,6,-1
BGC0000031,30601,7,-1
BGC0000031,30601,8,198
BGC0000031,30601,9,198
BGC0000031,30601,10,198
BGC0001533,30601,1,158
BGC0001533,30601,2,17
BGC0001533,30601,3,116
BGC0001533,30601,4,149
BGC0001533,30601,5,109
BGC0001533,30601,6,-1
BGC0001533,30601,7,-1
BGC0001533,30601,8,198
BGC0001533,30601,9,198
BGC0001533,30601,10,198
BGC0001370,769,1,521
BGC0001370,769,2,434
BGC0001370,769,3,577
BGC0001370,769,4,577
BGC0001370,769,5,577
BGC0001370,769,6,-1
BGC0001370,769,7,350
BGC0001370,769,8,672
BGC0001370,769,9,312
BGC0001370,769,10,546
BGC0001370,769,11,434
BGC0001370,769,12,521
BGC0001370,769,13,-1
BGC0001374,4279,1,708
BGC0001374,4279,2,296
BGC0001374,4279,3,296
BGC0000033,18375,1,-1
BGC0000033,18375,2,338
BGC0000033,18375,3,-1
BGC0000033,18375,4,441
BGC0000033,18375,5,338
BGC0000033,18375,6,249
BGC0000033,18375,7,-1
BGC0000033,18375,8,-1
BGC0000033,18375,9,321
BGC0001357,30171,1,46
BGC0001357,30171,2,46
BGC0001357,30171,3,46
BGC0001357,30171,4,-1
BGC0001357,30171,5,-1
BGC0001357,30171,6,46
BGC0001357,30171,7,-1
BGC0001357,30171,8,274
BGC0001357,30171,9,46
BGC0001357,30171,10,46
BGC0001357,30171,11,317
BGC0001357,30171,12,317
BGC0001357,30171,13,261
BGC0001357,30171,14,261
BGC0001357,30171,15,317
BGC0001357,30171,16,317
BGC0001357,30171,17,-1
BGC0001357,30171,18,-1
BGC0001357,30171,19,46
BGC0001357,30171,20,46
BGC0001357,30171,21,46
BGC0001357,30171,22,46
BGC0001386,19501,1,526
BGC0001386,19501,2,10
BGC0001386,19501,3,-1
BGC0001386,19501,4,-1
BGC0001387,5799,1,39
BGC0001387,5799,2,39
BGC0001387,5799,3,39
BGC0001387,5799,4,206
BGC0001387,5799,5,147
BGC0001393,17635,1,333
BGC0001393,17635,2,333
BGC0001393,17635,3,408
BGC0001393,17635,4,492
BGC0001393,17635,5,-1
BGC0001393,17635,6,411
BGC0001393,17635,7,411
BGC0001364,1246,1,-1
BGC0001364,1246,2,-1
BGC0001364,1246,3,-1
BGC0001364,1246,4,140
BGC0001364,1246,5,140
BGC0001364,1246,6,-1
BGC0001364,1246,7,244
BGC0001364,1246,8,-1
BGC0001364,1246,9,89
BGC0001364,1246,10,434
BGC0001364,1246,11,494
BGC0001364,1246,12,244
BGC0001364,1246,13,-1
BGC0001364,1246,14,-1
BGC0001364,1246,15,333
BGC0001364,1246,16,333
BGC0001364,1246,17,333
BGC0001364,1246,18,140
BGC0001364,1246,19,253
BGC0001364,1246,20,-1
BGC0001364,1246,21,-1
BGC0001364,1246,22,-1
BGC0001364,1246,23,-1
BGC0001364,1246,24,192
BGC0001364,1246,25,140
BGC0001364,1246,26,192
BGC0001364,1246,27,192
BGC0001364,1246,28,333
BGC0001364,1246,29,140
BGC0001364,1246,30,96
BGC0001364,1246,31,177
BGC0001364,1246,32,177
BGC0001364,1246,33,333
BGC0001364,1246,34,-1
BGC0000040,27333,1,530
BGC0000040,27333,2,314
BGC0000040,27333,3,460
BGC0000040,27333,4,246
BGC0000040,27333,5,246
BGC0000040,27333,6,246
BGC0000040,27333,7,270
BGC0000040,27333,8,460
BGC0000040,27333,9,-1
BGC0000040,27333,10,314
BGC0000040,27333,11,-1
BGC0000040,27333,12,-1
BGC0000040,27333,13,270
BGC0000040,27333,14,1
BGC0000040,27333,15,323
BGC0000043,28922,1,139
BGC0000043,28922,2,68
BGC0000043,28922,3,490
BGC0000043,28922,4,68
BGC0000043,28922,5,105
BGC0000043,28922,6,356
BGC0000043,28922,7,105
BGC0000043,28922,8,356
BGC0000043,28922,9,227
BGC0000976,28922,1,139
BGC0000976,28922,2,68
BGC0000976,28922,3,490
BGC0000976,28922,4,68
BGC0000976,28922,5,105
BGC0000976,28922,6,356
BGC0000976,28922,7,105
BGC0000976,28922,8,356
BGC0000976,28922,9,227
BGC0001165,28922,1,139
BGC0001165,28922,2,68
BGC0001165,28922,3,490
BGC0001165,28922,4,68
BGC0001165,28922,5,105
BGC0001165,28922,6,356
BGC0001165,28922,7,105
BGC0001165,28922,8,356
BGC0001165,28922,9,227
BGC0000029,31697,1,-1
BGC0000029,31697,2,227
BGC0000029,31697,3,75
BGC0000029,31697,4,343
BGC0000029,31697,5,599
BGC0000029,31697,6,294
BGC0000029,31697,7,504
BGC0000029,31697,8,251
BGC0000029,31697,9,504
BGC0000027,15490,1,254
BGC0000027,15490,2,294
BGC0000027,15490,3,-1
BGC0000027,15490,4,167
BGC0000027,15490,5,-1
BGC0000027,15490,6,253
BGC0000027,15490,7,254
BGC0000027,15490,8,167
BGC0000027,15490,9,292
BGC0000027,15490,10,254
BGC0000027,15490,11,267
BGC0000027,15490,12,254
BGC0000099,15490,1,254
BGC0000099,15490,2,294
BGC0000099,15490,3,-1
BGC0000099,15490,4,167
BGC0000099,15490,5,-1
BGC0000099,15490,6,253
BGC0000099,15490,7,254
BGC0000099,15490,8,167
BGC0000099,15490,9,292
BGC0000099,15490,10,254
BGC0000099,15490,11,267
BGC0000099,15490,12,254
BGC0000023,34333,1,352
BGC0000023,34333,2,52
BGC0000023,34333,3,-1
BGC0000023,34333,4,-1
BGC0000023,34333,5,308
BGC0000023,34333,6,227
BGC0000023,34333,7,227
BGC0000044,25789,1,-1
BGC0000044,25789,2,-1
BGC0000044,25789,3,53
BGC0000044,25789,4,331
BGC0000044,25789,5,331
BGC0000044,25789,6,331
BGC0000044,25789,7,-1
BGC0000044,25789,8,-1
BGC0000044,25789,9,20
BGC0000044,25789,10,343
BGC0000044,25789,11,343
BGC0000044,25789,12,20
BGC0000044,25789,13,20
BGC0001377,3606,1,390
BGC0001377,3606,2,208
BGC0001377,3606,3,-1
BGC0001377,3606,4,-1
BGC0001377,3606,5,159
BGC0001377,3606,6,-1
BGC0001377,3606,7,-1
BGC0001377,3606,8,-1
BGC0001377,3606,9,-1
BGC0000030,17585,1,107
BGC0000030,17585,2,321
BGC0000030,17585,3,257
BGC0000030,17585,4,-1
BGC0000026,31983,1,711
BGC0000026,31983,2,27
BGC0000026,31983,3,711
BGC0000026,31983,4,711
BGC0000026,31983,5,711
BGC0000026,31983,6,12
BGC0000026,31983,7,12
BGC0000026,31983,8,522
BGC0000026,31983,9,711
BGC0000026,31983,10,711
BGC0000026,31983,11,711
BGC0000026,31983,12,-1
BGC0000026,31983,13,526
BGC0000026,31983,14,-1
BGC0000026,31983,15,53
BGC0000026,31983,16,237
BGC0000026,31983,17,-1
BGC0000026,31983,18,711
BGC0000017,21136,1,477
BGC0000017,21136,2,264
BGC0000017,21136,3,-1
BGC0000017,21136,4,129
BGC0000035,28080,1,-1
BGC0000035,28080,2,323
BGC0000035,28080,3,-1
BGC0000035,28080,4,-1
BGC0000035,28080,5,-1
BGC0000035,28080,6,-1
BGC0000035,28080,7,246
BGC0000035,28080,8,259
BGC0000035,28080,9,-1
BGC0000035,28080,10,-1
BGC0000035,28080,11,-1
BGC0000047,45949,1,323
BGC0000047,45949,2,345
BGC0000047,45949,3,-1
BGC0000047,45949,4,156
BGC0000047,45949,5,-1
BGC0000047,45949,6,-1
BGC0000047,45949,7,259
BGC0000047,45949,8,319
BGC0000047,45949,9,156
BGC0000047,45949,10,-1
BGC0000024,1470,1,159
BGC0000024,1470,2,23
BGC0000024,1470,3,113
BGC0000024,1470,4,113
BGC0000024,1470,5,-1
BGC0000024,1470,6,218
BGC0000024,1470,7,-1
BGC0000020,16033,1,86
BGC0000020,16033,2,-1
BGC0000020,16033,3,283
BGC0000020,16033,4,283
BGC0000020,16033,5,17
BGC0000020,16033,6,66
BGC0000020,16033,7,-1
BGC0000020,16033,8,201
BGC0000020,16033,9,283
BGC0000020,16033,10,12
BGC0000020,16033,11,86
BGC0000020,16033,12,-1
BGC0000020,16033,13,-1
BGC0000020,16033,14,-1
BGC0001511,1519,1,86
BGC0001511,1519,2,-1
BGC0001511,1519,3,283
BGC0001511,1519,4,283
BGC0001511,1519,5,17
BGC0001511,1519,6,66
BGC0001511,1519,7,12
BGC0001511,1519,8,201
BGC0001511,1519,9,-1
BGC0001511,1519,10,-1
BGC0001511,1519,11,86
BGC0001511,1519,12,-1
BGC0001511,1519,13,-1
BGC0001360,15272,1,10
BGC0001360,15272,2,390
BGC0001360,15272,3,362
BGC0001360,15272,4,347
BGC0001360,15272,5,23
BGC0001360,15272,6,357
BGC0001360,15272,7,361
BGC0000104,15272,1,10
BGC0000104,15272,2,390
BGC0000104,15272,3,362
BGC0000104,15272,4,347
BGC0000104,15272,5,23
BGC0000104,15272,6,357
BGC0000104,15272,7,361
BGC0001677,15272,1,10
BGC0001677,15272,2,390
BGC0001677,15272,3,362
BGC0001677,15272,4,347
BGC0001677,15272,5,23
BGC0001677,15272,6,357
BGC0001677,15272,7,361
BGC0002616,15272,1,10
BGC0002616,15272,2,390
BGC0002616,15272,3,362
BGC0002616,15272,4,347
BGC0002616,15272,5,23
BGC0002616,15272,6,357
BGC0002616,15272,7,361
BGC0002619,15272,1,10
BGC0002619,15272,2,390
BGC0002619,15272,3,362
BGC0002619,15272,4,347
BGC0002619,15272,5,23
BGC0002619,15272,6,357
BGC0002619,15272,7,361
BGC0000052,24831,1,473
BGC0000052,24831,2,345
BGC0000052,24831,3,473
BGC0000052,24831,4,31
BGC0000052,24831,5,-1
BGC0000052,24831,6,65
BGC0000052,24831,7,-1
BGC0000052,24831,8,523
BGC0000052,24831,9,214
BGC0000052,24831,10,419
BGC0000052,24831,11,419
BGC0000052,24831,12,214
BGC0000052,24831,13,419
BGC0000052,24831,14,754
BGC0000052,24831,15,419
BGC0000052,24831,16,419
BGC0000052,24831,17,214
BGC0000052,24831,18,419
BGC0000052,24831,19,345
BGC0000052,24831,20,473
BGC0000052,24831,21,635
BGC0000052,24831,22,701
BGC0000052,24831,23,701
BGC0000052,24831,24,214
BGC0000052,24831,25,635
BGC0000052,24831,26,419
BGC0000052,24831,27,473
BGC0000052,24831,28,473
BGC0000052,24831,29,635
BGC0000052,24831,30,-1
BGC0000038,29356,1,-1
BGC0000038,29356,2,17
BGC0000038,29356,3,157
BGC0001371,36016,1,205
BGC0001371,36016,2,234
BGC0001371,36016,3,234
BGC0001371,36016,4,234
BGC0001371,36016,5,434
BGC0001371,36016,6,434
BGC0001371,36016,7,-1
BGC0001373,380,1,134
BGC0001373,380,2,36
BGC0001373,380,3,-1
BGC0001373,380,4,34
BGC0001373,380,5,-1
BGC0001373,380,6,-1
BGC0001373,380,7,-1
BGC0001373,380,8,-1
BGC0001373,380,9,168
BGC0001415,1564,1,-1
BGC0001415,1564,2,-1
BGC0001415,1564,3,342
BGC0001415,1564,4,367
BGC0001415,1564,5,-1
BGC0001415,1564,6,151
BGC0001415,1564,7,-1
BGC0001415,1564,8,84
BGC0000955,1564,1,496
BGC0000955,1564,2,598
BGC0000955,1564,3,342
BGC0000955,1564,4,367
BGC0000955,1564,5,-1
BGC0000955,1564,6,151
BGC0000955,1564,7,-1
BGC0000955,1564,8,84
BGC0001367,20908,1,182
BGC0001367,20908,2,-1
BGC0001367,20908,3,504
BGC0001367,20908,4,-1
BGC0001367,20908,5,504
BGC0001367,20908,6,182
BGC0000041,47834,1,-1
BGC0000041,47834,2,-1
BGC0000041,47834,3,253
BGC0000041,47834,4,-1
BGC0000022,34539,1,-1
BGC0000022,34539,2,340
BGC0000022,34539,3,304
BGC0000022,34539,4,-1
BGC0000022,34539,5,45
BGC0000022,34539,6,-1
BGC0000036,1081,1,-1
BGC0000036,1081,2,445
BGC0000036,1081,3,-1
BGC0000036,1081,4,-1
BGC0000036,1081,5,-1
BGC0000036,1081,6,-1
BGC0000036,1081,7,201
BGC0000036,1081,8,-1
BGC0000036,1081,9,-1
BGC0000036,1081,10,249
BGC0000036,1081,11,201
BGC0000036,1081,12,-1
BGC0000036,1081,13,201
BGC0000036,1081,14,254
BGC0000036,1081,15,201
BGC0000036,1081,16,254
BGC0000036,1081,17,-1
BGC0001376,871,1,393
BGC0001376,871,2,368
BGC0001376,871,3,368
BGC0001376,871,4,107
BGC0002732,871,1,393
BGC0002732,871,2,368
BGC0002732,871,3,368
BGC0002732,871,4,107
BGC0001418,16323,1,386
BGC0001418,16323,2,386
BGC0001418,16323,3,640
BGC0001418,16323,4,484
BGC0001418,16323,5,110
BGC0001418,16323,6,193
BGC0001418,16323,7,387
BGC0001418,16323,8,762
BGC0001418,16323,9,471
BGC0001418,16323,10,698
BGC0001418,16323,11,698
BGC0001418,16323,12,698
BGC0001418,16323,13,698
BGC0001431,16323,1,386
BGC0001431,16323,2,386
BGC0001431,16323,3,640
BGC0001431,16323,4,484
BGC0001431,16323,5,110
BGC0001431,16323,6,193
BGC0001431,16323,7,387
BGC0001431,16323,8,762
BGC0001431,16323,9,471
BGC0001431,16323,10,698
BGC0001431,16323,11,698
BGC0001431,16323,12,698
BGC0001431,16323,13,698
BGC0001429,16323,1,386
BGC0001429,16323,2,386
BGC0001429,16323,3,640
BGC0001429,16323,4,484
BGC0001429,16323,5,110
BGC0001429,16323,6,193
BGC0001429,16323,7,387
BGC0001429,16323,8,762
BGC0001429,16323,9,471
BGC0001429,16323,10,698
BGC0001429,16323,11,698
BGC0001429,16323,12,698
BGC0001429,16323,13,698
BGC0001430,16323,1,386
BGC0001430,16323,2,386
BGC0001430,16323,3,640
BGC0001430,16323,4,484
BGC0001430,16323,5,110
BGC0001430,16323,6,193
BGC0001430,16323,7,387
BGC0001430,16323,8,762
BGC0001430,16323,9,471
BGC0001430,16323,10,698
BGC0001430,16323,11,698
BGC0001430,16323,12,698
BGC0001430,16323,13,698
BGC0001432,16323,1,386
BGC0001432,16323,2,386
BGC0001432,16323,3,640
BGC0001432,16323,4,484
BGC0001432,16323,5,110
BGC0001432,16323,6,193
BGC0001432,16323,7,387
BGC0001432,16323,8,762
BGC0001432,16323,9,471
BGC0001432,16323,10,698
BGC0001432,16323,11,698
BGC0001432,16323,12,698
BGC0001432,16323,13,698
BGC0001023,16323,1,386
BGC0001023,16323,2,386
BGC0001023,16323,3,640
BGC0001023,16323,4,484
BGC0001023,16323,5,110
BGC0001023,16323,6,193
BGC0001023,16323,7,387
BGC0001023,16323,8,762
BGC0001023,16323,9,471
BGC0001023,16323,10,698
BGC0001023,16323,11,698
BGC0001023,16323,12,698
BGC0001023,16323,13,698
BGC0001399,981,1,458
BGC0001399,981,2,-1
BGC0001399,981,3,505
BGC0001399,981,4,-1
BGC0000053,24358,1,32
BGC0000053,24358,2,314
BGC0000053,24358,3,314
BGC0000053,24358,4,32
BGC0000053,24358,5,323
BGC0000053,24358,6,530
BGC0000053,24358,7,530
BGC0000053,24358,8,32
BGC0000053,24358,9,32
BGC0000053,24358,10,323
BGC0000053,24358,11,32
BGC0000053,24358,12,32
BGC0000053,24358,13,32
BGC0000053,24358,14,270
BGC0000053,24358,15,-1
BGC0000053,24358,16,32
BGC0000053,24358,17,270
BGC0000053,24358,18,-1
BGC0001378,265,1,116
BGC0001378,265,2,-1
BGC0001378,265,3,-1
BGC0001378,265,4,294
BGC0001378,265,5,571
BGC0001378,265,6,-1
BGC0001378,265,7,394
BGC0001378,265,8,20
BGC0000028,31016,1,237
BGC0000028,31016,2,-1
BGC0000028,31016,3,345
BGC0000028,31016,4,227
BGC0000028,31016,5,-1
BGC0000028,31016,6,-1
BGC0000028,31016,7,-1
BGC0000028,31016,8,-1
BGC0000028,31016,9,-1
BGC0000028,31016,10,-1
BGC0000028,31016,11,-1
BGC0000028,31016,12,-1
BGC0000028,31016,13,314
BGC0000028,31016,14,219
BGC0000028,31016,15,246
BGC0000028,31016,16,-1
BGC0001392,11821,1,-1
BGC0001392,11821,2,-1
BGC0001392,11821,3,587
BGC0001392,11821,4,587
BGC0001392,11821,5,-1
BGC0001392,11821,6,409
BGC0001392,11821,7,140
BGC0001392,11821,8,327
BGC0001392,11821,9,327
BGC0001392,11821,10,327
BGC0001392,11821,11,-1
BGC0001392,11821,12,-1
BGC0001392,11821,13,-1
BGC0001392,11821,14,-1
BGC0001392,11821,15,-1
BGC0001392,11821,16,204
BGC0001392,11821,17,204
BGC0001392,11821,18,269
BGC0001392,11821,19,204
