reaction_id,reaction_smarts
TE_carboxylic,[#6:1]-[#6:2](-[#16:3])=[#8:4]>>[#6:1]-[#6:2](-[#8:3])=[#8:4]
TE_amide,[#6:1]-[#6:2](-[#16:3])=[#8:4]>>[#6:1]-[#6:2](-[#7:3])=[#8:4]
TE,[#6:1]-[#6:2](-[#16:3])=[#8:4]>>[#6:1]-[#6:2](-[*])=[#8:4]
TE_alcohol,[#6:1]-[#6:2](-[#16:3])=[#8:4]>>[#6:1]-[#6:2]-[#8H:4]
